Common Name,Scientific Name,Status,Group
Kagu,Rhynochetos jubatus,Endangered,Birds
Kakapo,Strigops habroptilus,Endangered,Birds
"Kestrel, Mauritius",Falco punctatus,Endangered,Birds
"Kestrel, Seychelles",Falco araea,Endangered,Birds
"Kingfisher, Guam",Todiramphus cinnamominus,Endangered,Birds
"Kite, Cuba hook-billed",Chondrohierax uncinatus wilsonii,Endangered,Birds
"Kite, Everglade snail",Rostrhamus sociabilis plumbeus,Endangered,Birds
"Kite, Grenada hook-billed",Chondrohierax uncinatus mirus,Endangered,Birds
"Kiwikiu, Maui parrotbill",Pseudonestor xanthophrys,Endangered,Birds
"Knot, red",Calidris canutus rufa,Threatened,Birds
"Lark, Raso",Alauda razae,Endangered,Birds
"Lark, streaked Horned",Eremophila alpestris strigata,Threatened,Birds
Laysan finch,Telespyza cantans,Endangered,Birds
"Macaw, blue-throated",Ara glaucogularis,Endangered,Birds
"Macaw, glaucous",Anodorhynchus glaucus,Endangered,Birds
"Macaw, great green",Ara ambiguus,Endangered,Birds
"Macaw, hyacinth",Anodorhynchus hyacinthinus,Threatened,Birds
"Macaw, indigo",Anodorhynchus leari,Endangered,Birds
"Macaw, little blue",Cyanopsitta spixii,Endangered,Birds
"Macaw, military",Ara militaris,Endangered,Birds
"Macaw, scarlet",Ara macao ssp. cyanopterus,Endangered,Birds
"Macaw, scarlet [Northern DPS]",Ara macao ssp. macao,Threatened,Birds
"Macaw, scarlet [Southern DPS]",Ara macao ssp. macao,Threatened (S/A),Birds
"Malimbe, Ibadan",Malimbus ibadanensis,Endangered,Birds
Mao (= maomao) (honeyeater),Gymnomyza samoensis,Endangered,Birds
"Megapode, Maleo",Macrocephalon maleo,Endangered,Birds
"Megapode, Micronesian",Megapodius laperouse,Endangered,Birds
"Merganser, Brazillian",Mergus octosetaceus,Endangered,Birds
"Mockingbird, Socorro",Mimus graysoni,Endangered,Birds
"Moorhen, Mariana common",Gallinula chloropus guami,Endangered,Birds
"Murrelet, marbled",Brachyramphus marmoratus,Threatened,Birds
"Myna, Rothschild's starling",Leucopsar rothschildi,Endangered,Birds
"Nightjar, Puerto Rican",Caprimulgus noctitherus,Endangered,Birds
Nihoa finch,Telespyza ultima,Endangered,Birds
"Nuthatch, Algerian",Sitta ledanti,Endangered,Birds
"Ostrich, Arabian",Struthio camelus syriacus,Endangered,Birds
"Ostrich, West African",Struthio camelus spatzi,Endangered,Birds
"Owl, Anjouan scops",Otus rutilus capnodes,Endangered,Birds
"Owl, giant scops",Mimizuku (=Otus) gurneyi,Endangered,Birds
"Owl, Madagascar red",Tyto soumagnei,Endangered,Birds
"Owl, Mexican spotted",Strix occidentalis lucida,Threatened,Birds
"Owl, northern spotted",Strix occidentalis caurina,Threatened,Birds
"Owl, Seychelles scops",Otus magicus (=insularis) insularis,Endangered,Birds
"Owlet, Morden's",Otus ireneae,Endangered,Birds
"Oystercatcher, Canarian black",Haematopus meadewaldoi,Endangered,Birds
Palila,Loxioides bailleui,Endangered,Birds
"Parakeet, blue-throated (=ochre-marked)",Pyrrhura cruentata,Endangered,Birds
"Parakeet, Forbes'",Cyanoramphus auriceps forbesi,Endangered,Birds
"Parakeet, golden-shouldered",Psephotus chrysopterygius,Endangered,Birds
"Parakeet, Mauritius",Psittacula echo,Endangered,Birds
"Parakeet, Norfolk Island",Cyanoramphus cookii (=novaezelandiae c.),Endangered,Birds
"Parakeet, orange-bellied",Neophema chrysogaster,Endangered,Birds
"Parakeet, paradise",Psephotus pulcherrimus,Endangered,Birds
"Parrot, Bahaman or Cuban",Amazona leucocephala,Endangered,Birds
"Parrot, ground",Pezoporus wallicus,Endangered,Birds
"Parrot, imperial",Amazona imperialis,Endangered,Birds
"Parrot, night (=Australian)",Geopsittacus occidentalis,Endangered,Birds
"Parrot, Puerto Rican",Amazona vittata,Endangered,Birds
"Parrot, red-browed",Amazona rhodocorytha,Endangered,Birds
"Parrot, red-capped",Pionopsitta pileata,Endangered,Birds
"Parrot, red-necked",Amazona arausiaca,Endangered,Birds
"Parrot, red-spectacled",Amazona pretrei pretrei,Endangered,Birds
"Parrot, red-tailed",Amazona brasiliensis,Endangered,Birds
"Parrot, Seychelles lesser vasa",Coracopsis nigra barklyi,Endangered,Birds
"Parrot, St Vincent",Amazona guildingii,Endangered,Birds
"Parrot, St. Lucia",Amazona versicolor,Endangered,Birds
"Parrot, thick-billed",Rhynchopsitta pachyrhyncha,Endangered,Birds
"Parrot, vinaceous-breasted",Amazona vinacea,Endangered,Birds
"Parrot, yellow-billed",Amazona collaria,Threatened,Birds
"Penguin, African",Spheniscus demersus,Endangered,Birds
"Penguin, emperor",Aptenodytes forsteri,Threatened,Birds
"Penguin, erect-crested",Eudyptes sclateri,Threatened,Birds
"Penguin, Fiordland crested",Eudyptes pachyrhynchus,Threatened,Birds
"Penguin, Galapagos",Spheniscus mendiculus,Endangered,Birds
"Penguin, Humboldt",Spheniscus humboldti,Threatened,Birds
"Penguin, southern rockhopper [New Zealand-Australia DPS]",Eudyptes chrysocome,Threatened,Birds
"Penguin, white-flippered",Eudyptula albosignata,Threatened,Birds
"Penguin, yellow-eyed",Megadyptes antipodes,Threatened,Birds
"Petrel, Bermuda",Pterodroma cahow,Endangered,Birds
"Petrel, black-capped",Pterodroma hasitata,Endangered,Birds
"Petrel, Chatham Island",Pterodroma axillaris,Endangered,Birds
"Petrel, Fiji",Pseudobulweria macgillivrayi,Endangered,Birds
"Petrel, Galapagos",Pterodroma phaeopygia,Threatened,Birds
"Petrel, Hawaiian",Pterodroma sandwichensis,Endangered,Birds
"Petrel, Magenta",Pterodroma magentae,Endangered,Birds
"Petrel, Mascarene black",Pterodroma aterrima,Endangered,Birds
"Pheasant, bar-tailed",Syrmaticus humaie,Endangered,Birds
"Pheasant, Blyth's tragopan",Tragopan blythii,Endangered,Birds
"Pheasant, brown eared",Crossoptilon mantchuricum,Endangered,Birds
"Pheasant, Cabot's tragopan",Tragopan caboti,Endangered,Birds
"Pheasant, cheer",Catreus wallichii,Endangered,Birds
"Pheasant, Chinese monal",Lophophorus lhuysii,Endangered,Birds
"Pheasant, Edward's",Lophura edwardsi,Endangered,Birds
"Pheasant, Elliot's",Syrmaticus ellioti,Endangered,Birds
"Pheasant, imperial",Lophura imperialis,Endangered,Birds
"Pheasant, Mikado",Syrmaticus mikado,Endangered,Birds
"Pheasant, Palawan peacock",Polyplectron emphanum,Endangered,Birds
"Pheasant, Sclater's monal",Lophophorus sclateri,Endangered,Birds
"Pheasant, Swinhoe's",Lophura swinhoii,Endangered,Birds
"Pheasant, western tragopan",Tragopan melanocephalus,Endangered,Birds
"Pheasant, white eared",Crossoptilon crossoptilon,Endangered,Birds
"Pigeon, Azores wood",Columba palumbus azorica,Endangered,Birds
"Pigeon, Chatham Island",Hemiphaga novaeseelandiae chathamensis,Endangered,Birds
"Pigeon, Marquesas",Ducula galeata,Endangered,Birds
"Pigeon, Mindoro imperial (=zone-tailed)",Ducula mindorensis,Endangered,Birds
"Pigeon, pink",Columba mayeri,Endangered,Birds
"Pigeon, Puerto Rican plain",Columba inornata wetmorei,Endangered,Birds
"Pigeon, white-tailed laurel",Columba junoniae,Threatened,Birds
"Piping-guan, black-fronted",Pipile jacutinga,Endangered,Birds
"Pitta, Gurney's",Pitta gurneyi,Endangered,Birds
"Pitta, Koch's",Pitta kochi,Endangered,Birds
"Plantcutter, Peruvian",Phytotoma raimondii,Endangered,Birds
"Plover, New Zealand shore",Thinornis novaeseelandiae,Endangered,Birds
"Plover, piping [Atlantic Coast and Northern Great Plains populations]",Charadrius melodus,Threatened,Birds
"Plover, piping [Great Lakes watershed DPS]",Charadrius melodus,Endangered,Birds
"Plover, western snowy [Pacific Coast population DPS]",Charadrius nivosus nivosus,Threatened,Birds
"Pochard, Madagascar",Aythya innotata,Endangered,Birds
"Prairie-chicken, Attwater's greater",Tympanuchus cupido attwateri,Endangered,Birds
"Prairie-chicken, lesser [Northern DPS]",Tympanuchus pallidicinctus,Threatened,Birds
"Prairie-chicken, lesser [Southern DPS]",Tympanuchus pallidicinctus,Endangered,Birds
"Puffleg, black-breasted",Eriocnemis nigrivestis,Endangered,Birds
"Pygmy-owl, Cactus ferruginous",Glaucidium brasilianum cactorum,Threatened,Birds
"Quail, masked bobwhite",Colinus virginianus ridgwayi,Endangered,Birds
"Quail, Merriam's Montezuma",Cyrtonyx montezumae merriami,Endangered,Birds
"Quetzel, Resplendent",Pharomachrus mocinno ssp. mocinno,Endangered,Birds
"Rail, Aukland Island",Rallus pectoralis muelleri,Endangered,Birds
"Rail, California clapper",Rallus longirostris obsoletus,Endangered,Birds
"Rail, eastern Black",Laterallus jamaicensis ssp. jamaicensis,Threatened,Birds
"Rail, Guam",Rallus owstoni,XN,Birds
"Rail, Guam",Rallus owstoni,Endangered,Birds
"Rail, Junin",Laterallus tuerosi,Endangered,Birds
"Rail, light-footed clapper",Rallus longirostris levipes,Endangered,Birds
"Rail, Lord Howe wood",Gallirallus (=Tricholimnas) sylvestris,Endangered,Birds
"Rail, Yuma Ridgway's",Rallus obsoletus yumanensis,Endangered,Birds
"Reed-Warbler, Eiao Marquesas",Acrocephalus percernis aquilonis,Endangered,Birds
"Rhea, lesser (incl. Darwin's)",Rhea (=Pterocnemia) pennata,Endangered,Birds
"Robin, Chatham Island",Petroica traversi,Endangered,Birds
"Robin, dappled mountain",Arcanator orostruthus,Threatened,Birds
"Rockfowl, grey-necked",Picathartes oreas,Endangered,Birds
"Rockfowl, white-necked",Picathartes gymnocephalus,Endangered,Birds
"Roller, long-tailed ground",Uratelornis chimaera,Endangered,Birds
"Sage-grouse, Gunnison",Centrocercus minimus,Threatened,Birds
"Scrub-bird, noisy",Atrichornis clamosus,Endangered,Birds
"Scrub-jay, Florida",Aphelocoma coerulescens,Threatened,Birds
"Shearwater, Heinroth's",Puffinus heinrothi,Threatened,Birds
"Shearwater, Newell's Townsend's",Puffinus auricularis newelli,Threatened,Birds
"Shrike, San Clemente loggerhead",Lanius ludovicianus mearnsi,Endangered,Birds
"Siskin, red",Carduelis cucullata,Endangered,Birds
"Sparrow, Cape Sable seaside",Ammodramus maritimus mirabilis,Endangered,Birds
"Sparrow, Florida grasshopper",Ammodramus savannarum floridanus,Endangered,Birds
"Sparrowhawk, Anjouan Island",Accipiter francesii pusillus,Endangered,Birds
"Starling, Ponape mountain",Aplonis pelzelni,Endangered,Birds
"Stilt, black",Himantopus novaezelandiae,Endangered,Birds
"Stilt, Hawaiian",Himantopus mexicanus knudseni,Endangered,Birds
"Stork, oriental white",Ciconia boyciana (=ciconia b.),Endangered,Birds
"Stork, wood",Mycteria americana,Threatened,Birds
"Storm-petrel, band-rumped",Oceanodroma castro,Endangered,Birds
"Sunbird, Marungu",Nectarinia prigoginei,Endangered,Birds
"Swiftlet, Mariana gray",Aerodramus vanikorensis bartschi,Endangered,Birds
"Tanager, cherry-throated",Nemosia rourei,Endangered,Birds
"Teal, Campbell Island flightless",Anas aucklandica nesiotis,Endangered,Birds
"Tern, California least",Sterna antillarum browni,Endangered,Birds
"Tern, roseate",Sterna dougallii dougallii,Endangered,Birds
"Tern, roseate",Sterna dougallii dougallii,Threatened,Birds
"Thrasher, Martinique trembler",Cinclocerthia ruficauda gutturalis,Endangered,Birds
"Thrasher, white-breasted",Ramphocinclus brachyurus,Endangered,Birds
"Thrush, Cebu black shama",Copsychus niger cebuensis,Endangered,Birds
"Thrush, Molokai",Myadestes lanaiensis rutha,Endangered,Birds
"Thrush, Seychelles magpie-robin",Copsychus sechellarum,Endangered,Birds
"Thrush, small Kauai (=puaiohi)",Myadestes palmeri,Endangered,Birds
"Thrush, St. Lucia Forest",Cichlherminia iherminieri santaeluciae,Endangered,Birds
"Thrush, Taita",Turdus olivaceus helleri,Endangered,Birds
"Tinamou, solitary",Tinamus solitarius,Endangered,Birds
"Tit-spinetail, white-browed",Leptasthenura xenothorax,Endangered,Birds
"Tit-tyrant, ash-breasted",Anairetes alpinus,Endangered,Birds
"Tody-tyrant, Kaempfer's",Hemitriccus kaempferi,Endangered,Birds
"Towhee, Inyo California",Pipilo crissalis eremophilus,Threatened,Birds
"Tree-Finch, Floreana",Camarhynchus pauper,Endangered,Birds
"Turaco, Bannerman's",Tauraco bannermani,Endangered,Birds
"Vanga, Pollen's",Xenopirostris polleni,Threatened,Birds
"Vanga, Van Dam's",Xenopirostris damii,Threatened,Birds
"Vireo, Least Bell's",Vireo bellii pusillus,Endangered,Birds
"Wanderer, plains (=collared-hemipode)",Pedionomus torquatus,Endangered,Birds
"Warbler, Aldabra (old world Warbler)",Nesillas aldabranus,Endangered,Birds
"Warbler, Barbados yellow (=wood)",Dendroica petechia petechia,Endangered,Birds
"Warbler, Elfin-woods",Setophaga angelae,Threatened,Birds
"Warbler, golden-cheeked",Setophaga chrysoparia,Endangered,Birds
"Warbler, long-legged",Trichocichla rufa,Endangered,Birds
"Warbler, nightingale reed (old world Warbler)",Acrocephalus luscinia,Endangered,Birds
"Warbler, Nihoa millerbird (old world Warbler)",Acrocephalus familiaris kingi,Endangered,Birds
"Warbler, Rodrigues (old world Warbler)",Bebrornis rodericanus,Endangered,Birds
"Warbler, Semper's (=wood)",Leucopeza semperi,Endangered,Birds
"Warbler, Seychelles (old world Warbler)",Bebrornis sechellensis,Endangered,Birds
"Wattlebird, Kokako",Callaeas cinerea,Endangered,Birds
"Wattlebird, New Zealand thrush",Turnagra capensis,Endangered,Birds
"Wattle-eye, banded",Platysteira laticincta,Endangered,Birds
"Weaver, Clarke's",Ploceus golandi,Endangered,Birds
"Weaver-finch, Seychelles fody",Foudia sechellarum,Endangered,Birds
"Whipbird, western",Psophodes nigrogularis,Endangered,Birds
"White-eye, Norfolk Island",Zosterops albogularis,Endangered,Birds
"White-eye, Ponape greater",Rukia longirostra,Endangered,Birds
"White-eye, Rota bridled",Zosterops rotensis,Endangered,Birds
"White-eye, Seychelles",Zosterops modesta,Endangered,Birds
"Woodpecker, imperial",Campephilus imperialis,Endangered,Birds
"Woodpecker, ivory-billed",Campephilus principalis,Endangered,Birds
"Woodpecker, red-cockaded",Picoides borealis,Endangered,Birds
"Woodpecker, Tristam's",Dryocopus javensis richardsi,Endangered,Birds
"Wood-quail, gorgeted",Odontophorus strophium,Endangered,Birds
"Woodstar, Chilean",Eulidia yarrellii,Endangered,Birds
"Woodstar, Esmeraldas",Chaetocercus berlepschi,Endangered,Birds
"Wren, Guadeloupe house",Troglodytes aedon guadeloupensis,Endangered,Birds
"Wren, St. Lucia house",Troglodytes aedon mesoleucus,Endangered,Birds
Reptiles,,,
"Alligator, American",Alligator mississippiensis,Endangered (S/A),Reptiles
"Alligator, Chinese",Alligator sinensis,Endangered,Reptiles
"Anole, Culebra Island giant",Anolis roosevelti,Endangered,Reptiles
"Boa, Jamaican",Epicrates subflavus,Endangered,Reptiles
"Boa, Mona",Epicrates monensis monensis,Threatened,Reptiles
"Boa, Puerto Rican",Chilabothrus inornatus,Endangered,Reptiles
"Boa, Round Island bolyeria",Bolyeria multocarinata,Endangered,Reptiles
"Boa, Round Island casarea",Casarea dussumieri,Endangered,Reptiles
"Boa, Virgin Islands tree",Chilabothrus granti,Endangered,Reptiles
"Caiman, Apaporis river",Caiman crocodilus apaporiensis,Endangered,Reptiles
"Caiman, black",Melanosuchus niger,Endangered,Reptiles
"Caiman, broad-snouted [Argentina DPS]",Caiman latirostris,Threatened,Reptiles
"Caiman, broad-snouted",Caiman latirostris,Endangered,Reptiles
"Caiman, brown",Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius),Endangered (S/A),Reptiles
"Caiman, common",Caiman crocodilus crocodilus,Endangered (S/A),Reptiles
"Caiman, Yacare",Caiman yacare,Threatened,Reptiles
"Chuckwalla, San Esteban Island",Sauromalus varius,Endangered,Reptiles
"Crocodile, African dwarf",Osteolaemus tetraspis tetraspis,Endangered,Reptiles
"Crocodile, African slender-snouted",Crocodylus cataphractus,Endangered,Reptiles
"Crocodile, American",Crocodylus acutus,Threatened,Reptiles
"Crocodile, American",Crocodylus acutus,Endangered,Reptiles
"Crocodile, Ceylon mugger",Crocodylus palustris kimbula,Endangered,Reptiles
"Crocodile, Congo dwarf",Osteolaemus tetraspis osborni,Endangered,Reptiles
"Crocodile, Cuban",Crocodylus rhombifer,Endangered,Reptiles
"Crocodile, mugger",Crocodylus palustris palustris,Endangered,Reptiles
"Crocodile, Nile",Crocodylus niloticus,Threatened,Reptiles
"Crocodile, Orinoco",Crocodylus intermedius,Endangered,Reptiles
"Crocodile, Philippine",Crocodylus novaeguineae mindorensis,Endangered,Reptiles
"Crocodile, saltwater",Crocodylus porosus,Threatened,Reptiles
"Crocodile, saltwater",Crocodylus porosus,Endangered,Reptiles
"Crocodile, Siamese",Crocodylus siamensis,Endangered,Reptiles
"Gartersnake, narrow-headed",Thamnophis rufipunctatus,Threatened,Reptiles
"Gartersnake, northern Mexican",Thamnophis eques megalops,Threatened,Reptiles
Gavial,Gavialis gangeticus,Endangered,Reptiles
"Gecko, day",Phelsuma edwardnewtoni,Endangered,Reptiles
"Gecko, Round Island day",Phelsuma guentheri,Endangered,Reptiles
"Gecko, Serpent Island",Cyrtodactylus serpensinsula,Threatened,Reptiles
"Iguana, Acklins ground",Cyclura rileyi nuchalis,Threatened,Reptiles
"Iguana, Allen's Cay",Cyclura cychlura inornata,Threatened,Reptiles
"Iguana, Andros Island ground",Cyclura cychlura cychlura,Threatened,Reptiles
"Iguana, Anegada ground",Cyclura pinguis,Endangered,Reptiles
"Iguana, Barrington land",Conolophus pallidus,Endangered,Reptiles
"Iguana, Cayman Brac ground",Cyclura nubila caymanensis,Threatened,Reptiles
"Iguana, Cuban ground",Cyclura nubila nubila,Threatened,Reptiles
"Iguana, Exuma Island",Cyclura cychlura figginsi,Threatened,Reptiles
"Iguana, Fiji banded",Brachylophus fasciatus,Endangered,Reptiles
"Iguana, Fiji crested",Brachylophus vitiensis,Endangered,Reptiles
"Iguana, Grand Cayman ground",Cyclura lewisi,Endangered,Reptiles
"Iguana, Jamaican",Cyclura collei,Endangered,Reptiles
"Iguana, Mayaguana",Cyclura carinata bartschi,Threatened,Reptiles
"Iguana, Mona ground",Cyclura stejnegeri,Threatened,Reptiles
"Iguana, Turks and Caicos",Cyclura carinata carinata,Threatened,Reptiles
"Iguana, Watling Island ground",Cyclura rileyi rileyi,Endangered,Reptiles
"Iguana, White Cay ground",Cyclura rileyi cristata,Threatened,Reptiles
"Lizard, blunt-nosed leopard",Gambelia silus,Endangered,Reptiles
"Lizard, Coachella Valley fringe-toed",Uma inornata,Threatened,Reptiles
"Lizard, Hierro giant",Gallotia simonyi simonyi,Endangered,Reptiles
"Lizard, Ibiza wall",Podarcis pityusensis,Threatened,Reptiles
"Lizard, Maria Island ground",Cnemidophorus vanzoi,Endangered,Reptiles
"Lizard, St. Croix ground",Ameiva polops,Endangered,Reptiles
"Massasauga, eastern (=rattlesnake)",Sistrurus catenatus,Threatened,Reptiles
"Monitor, desert",Varanus griseus,Endangered,Reptiles
"Monitor, Indian (=Bengal)",Varanus bengalensis,Endangered,Reptiles
"Monitor, Komodo Island",Varanus komodoensis,Endangered,Reptiles
"Monitor, yellow",Varanus flavescens,Endangered,Reptiles
"Pinesnake, black",Pituophis melanoleucus lodingi,Threatened,Reptiles
"Pinesnake, Louisiana",Pituophis ruthveni,Threatened,Reptiles
"Python, Indian",Python molurus molurus,Endangered,Reptiles
"Rattlesnake, Aruba Island",Crotalus unicolor,Threatened,Reptiles
"Rattlesnake, New Mexican ridge-nosed",Crotalus willardi obscurus,Threatened,Reptiles
"Sea snake, dusky",Aipysurus fuscus,Endangered,Reptiles
"Sea turtle, green [Central North Pacific Ocean population]",Chelonia mydas,Threatened,Reptiles
"Sea turtle, green [Central South Pacific Ocean population]",Chelonia mydas,Endangered,Reptiles
"Sea turtle, green [Central West Pacific Ocean population]",Chelonia mydas,Endangered,Reptiles
"Sea turtle, green [East Pacific Ocean population]",Chelonia mydas,Threatened,Reptiles
"Sea turtle, green [Eastern Indian and Western Pacific Oceans population]",Chelonia mydas,Threatened,Reptiles
"Sea turtle, green [Mediterranean Sea population]",Chelonia mydas,Endangered,Reptiles
"Sea turtle, green [North Atlantic Ocean population]",Chelonia mydas,Threatened,Reptiles
"Sea turtle, green [North Indian Ocean population]",Chelonia mydas,Threatened,Reptiles
"Sea turtle, green [South Atlantic Ocean population]",Chelonia mydas,Threatened,Reptiles
"Sea turtle, green [Southwest Indian Ocean population]",Chelonia mydas,Threatened,Reptiles
"Sea turtle, green [Southwest Pacific Ocean population]",Chelonia mydas,Threatened,Reptiles
"Sea turtle, hawksbill",Eretmochelys imbricata,Endangered,Reptiles
"Sea turtle, Kemp's ridley",Lepidochelys kempii,Endangered,Reptiles
"Sea turtle, leatherback",Dermochelys coriacea,Endangered,Reptiles
"Sea turtle, loggerhead [Mediterranean Sea DPS]",Caretta caretta,Endangered,Reptiles
"Sea turtle, loggerhead [North Indian Ocean DPS]",Caretta caretta,Endangered,Reptiles
"Sea turtle, loggerhead [North Pacific Ocean DPS]",Caretta caretta,Endangered,Reptiles
"Sea turtle, loggerhead [Northeast Atlantic Ocean DPS]",Caretta caretta,Endangered,Reptiles
"Sea turtle, loggerhead [Northwest Atlantic Ocean DPS]",Caretta caretta,Threatened,Reptiles
"Sea turtle, loggerhead [South Atlantic Ocean population]",Caretta caretta,Threatened,Reptiles
"Sea turtle, loggerhead [South Pacific population]",Caretta caretta,Endangered,Reptiles
"Sea turtle, loggerhead [Southeast Indian Ocean population]",Caretta caretta,Threatened,Reptiles
"Sea turtle, loggerhead [Southwest Indian Ocean population]",Caretta caretta,Threatened,Reptiles
"Sea turtle, olive ridley [Breeding colony populations on Pacific coast of Mexico]",Lepidochelys olivacea,Endangered,Reptiles
"Sea turtle, olive ridley",Lepidochelys olivacea,Threatened,Reptiles
"Skink, blue-tailed mole",Eumeces egregius lividus,Threatened,Reptiles
"Skink, Round Island",Leiolopisma telfairi,Threatened,Reptiles
"Skink, sand",Neoseps reynoldsi,Threatened,Reptiles
"Skink, Slevin's",Emoia slevini,Endangered,Reptiles
"Snake, Atlantic salt marsh",Nerodia clarkii taeniata,Threatened,Reptiles
"Snake, copperbelly water",Nerodia erythrogaster neglecta,Threatened,Reptiles
"Snake, eastern indigo",Drymarchon couperi,Threatened,Reptiles
"Snake, giant garter",Thamnophis gigas,Threatened,Reptiles
"Snake, Maria Island",Liophus ornatus,Endangered,Reptiles
"Snake, San Francisco garter",Thamnophis sirtalis tetrataenia,Endangered,Reptiles
Tartaruga,Podocnemis expansa,Endangered,Reptiles
"Terrapin, river",Batagur baska,Endangered,Reptiles
Tomistoma,Tomistoma schlegelii,Endangered,Reptiles
"Tortoise, angulated",Geochelone yniphora,Endangered,Reptiles
"Tortoise, Bolson",Gopherus flavomarginatus,Endangered,Reptiles
"Tortoise, desert",Gopherus agassizii,Threatened (S/A) certain locations,Reptiles
"Tortoise, desert",Gopherus agassizii,Threatened,Reptiles
"Tortoise, Egyptian",Testudo kleinmanni,Threatened,Reptiles
"Tortoise, Galapagos",Geochelone nigra (=elephantopus),Endangered,Reptiles
"Tortoise, gopher [Western DPS]",Gopherus polyphemus,Threatened,Reptiles
"Tortoise, Madagascar radiated",Geochelone radiata,Endangered,Reptiles
Tracaja,Podocnemis unifilis,Endangered,Reptiles
Tuatara,Sphenodon punctatus,Endangered,Reptiles
"Tuatara, Brother's Island",Sphenodon guntheri,Endangered,Reptiles
"Turtle, Alabama red-bellied",Pseudemys alabamensis,Endangered,Reptiles
"Turtle, aquatic box",Terrapene coahuila,Endangered,Reptiles
"Turtle, black softshell",Trionyx nigricans,Endangered,Reptiles
"Turtle, bog",Glyptemys muhlenbergii,Threatened (S/A) certain locations,Reptiles
"Turtle, bog",Glyptemys muhlenbergii,Threatened,Reptiles
"Turtle, Brazilian sideneck",Phrynops hogei,Endangered,Reptiles
"Turtle, Burmese peacock",Morenia ocellata,Endangered,Reptiles
"Turtle, Cat Island",Trachemys terrapen,Endangered,Reptiles
"Turtle, Central American river",Dermatemys mawii,Endangered,Reptiles
"Turtle, Cuatro Cienegas softshell",Trionyx ater,Endangered,Reptiles
"Turtle, flattened musk [Black Warrior River population]",Sternotherus depressus,Threatened,Reptiles
"Turtle, geometric",Psammobates geometricus,Endangered,Reptiles
"Turtle, Inagua Island",Trachemys stejnegeri malonei,Endangered,Reptiles
"Turtle, Indian sawback",Kachuga tecta tecta,Endangered,Reptiles
"Turtle, Indian softshell",Trionyx gangeticus,Endangered,Reptiles
"Turtle, peacock softshell",Trionyx hurum,Endangered,Reptiles
"Turtle, Plymouth redbelly (=Plymouth redbelly cooter)",Pseudemys rubriventris bangsi,Endangered,Reptiles
"Turtle, ringed map",Graptemys oculifera,Threatened,Reptiles
"Turtle, short-necked or western swamp",Pseudemydura umbrina,Endangered,Reptiles
"Turtle, Sonoyta mud",Kinosternon sonoriense longifemorale,Endangered,Reptiles
"Turtle, South American red-lined",Trachemys scripta callirostris,Endangered,Reptiles
"Turtle, spotted pond",Geoclemys hamiltonii,Endangered,Reptiles
"Turtle, three-keeled Asian",Melanochelys tricarinata,Endangered,Reptiles
"Turtle, yellow-blotched map",Graptemys flavimaculata,Threatened,Reptiles
"Viper, Lar Valley",Vipera latifii,Endangered,Reptiles
"Whipsnake, Alameda (=striped racer)",Masticophis lateralis euryxanthus,Threatened,Reptiles
Amphibians,,,
"Coqui, golden",Eleutherodactylus jasperi,Threatened,Amphibians
"Coqui, llanero",Eleutherodactylus juanariveroi,Endangered,Amphibians
"Frog, California red-legged",Rana draytonii,Threatened,Amphibians
"Frog, Chiricahua leopard",Rana chiricahuensis,Threatened,Amphibians
"Frog, dusky gopher",Rana sevosa,Endangered,Amphibians
"Frog, foothill yellow-legged",Rana boylii,Endangered (two populations),Amphibians
"Frog, foothill yellow-legged",Rana boylii,Threatened (two populations),Amphibians
"Frog, goliath",Conraua goliath,Threatened,Amphibians
"Frog, Israel painted",Discoglossus nigriventer,Endangered,Amphibians
"Frog, mountain yellow-legged",Rana muscosa,Endangered,Amphibians
"Frog, Oregon spotted",Rana pretiosa,Threatened,Amphibians
"Frog, Panamanian golden",Atelopus varius zeteki,Endangered,Amphibians
"Frog, Sierra Nevada yellow-legged",Rana sierrae,Endangered,Amphibians
"Frog, Stephen Island",Leiopelma hamiltoni,Endangered,Amphibians
Guajon,Eleutherodactylus cooki,Threatened,Amphibians
"Hellbender, eastern [Missouri DPS]",Cryptobranchus alleganiensis alleganiensis,Endangered,Amphibians
"Hellbender, Ozark",Cryptobranchus alleganiensis bishopi,Endangered,Amphibians
"Salamander, Austin blind",Eurycea waterlooensis,Endangered,Amphibians
"Salamander, Barton Springs",Eurycea sosorum,Endangered,Amphibians
"Salamander, California tiger",Ambystoma californiense,Threatened,Amphibians
"Salamander, California tiger",Ambystoma californiense,Endangered,Amphibians
"Salamander, California tiger",Ambystoma californiense,Endangered,Amphibians
"Salamander, Cheat Mountain",Plethodon nettingi,Threatened,Amphibians
"Salamander, Chinese giant",Andrias davidianus (=davidianus d.),Endangered,Amphibians
"Salamander, desert slender",Batrachoseps aridus,Endangered,Amphibians
"Salamander, frosted flatwoods",Ambystoma cingulatum,Threatened,Amphibians
"Salamander, Georgetown",Eurycea naufragia,Threatened,Amphibians
"Salamander, Japanese giant",Andrias japonicus (=davidianus j.),Endangered,Amphibians
"Salamander, Jemez Mountains",Plethodon neomexicanus,Endangered,Amphibians
"Salamander, Jollyville Plateau",Eurycea tonkawae,Threatened,Amphibians
"Salamander, Red Hills",Phaeognathus hubrichti,Threatened,Amphibians
"Salamander, reticulated flatwoods",Ambystoma bishopi,Endangered,Amphibians
"Salamander, Salado",Eurycea chisholmensis,Threatened,Amphibians
