Common Name,Scientific Name,Status,Group
"Dolphin, South Asian river/Indus river",Platanista gangetica minor,Endangered,Mammals
"Dolphin, South Island Hector's",Cephalorhynchus hectori hectori,Threatened,Mammals
"Dolphin, Taiwanese humpback",Sousa chinensis,Endangered,Mammals
Drill,Mandrillus (=Papio) leucophaeus,Endangered,Mammals
Dugong,Dugong dugon,Endangered,Mammals
"Duiker, Jentink's",Cephalophus jentinki,Endangered,Mammals
"Eland, western giant",Taurotragus derbianus derbianus,Endangered,Mammals
"Elephant, African",Loxodonta africana,Threatened,Mammals
"Elephant, Asian",Elephas maximus,Endangered,Mammals
"Ferret, black-footed",Mustela nigripes,XN,Mammals
"Ferret, black-footed",Mustela nigripes,Endangered,Mammals
Fisher,Pekania pennanti,Endangered,Mammals
"Fox, Bulmer's fruit bat (=flying)",Aproteles bulmerae,Endangered,Mammals
"Fox, Mariana fruit bat (=Mariana flying)",Pteropus mariannus mariannus,Threatened,Mammals
"Fox, Northern swift",Vulpes velox hebes,Endangered,Mammals
"Fox, Rodrigues fruit bat (=flying)",Pteropus rodricensis,Endangered,Mammals
"Fox, San Joaquin kit",Vulpes macrotis mutica,Endangered,Mammals
"Fox, Santa Catalina Island",Urocyon littoralis catalinae,Threatened,Mammals
"Fox, Sierra Nevada red [Sierra Nevada DPS]",Vulpes vulpes necator,Endangered,Mammals
"Fox, Simien",Canis simensis,Endangered,Mammals
"Gazelle, Arabian",Gazella gazella,Endangered,Mammals
"Gazelle, Clark's",Ammodorcas clarkei,Endangered,Mammals
"Gazelle, Dama",Gazella dama,Endangered,Mammals
"Gazelle, Mhorr",Gazella dama mhorr,Endangered,Mammals
"Gazelle, Moroccan",Gazella dorcas massaesyla,Endangered,Mammals
"Gazelle, mountain (=Cuvier's)",Gazella cuvieri,Endangered,Mammals
"Gazelle, Pelzeln's",Gazella dorcas pelzelni,Endangered,Mammals
"Gazelle, Rio de Oro Dama",Gazella dama lozanoi,Endangered,Mammals
"Gazelle, sand",Gazella subgutturosa marica,Endangered,Mammals
"Gazelle, Saudi Arabian",Gazella dorcas saudiya,Endangered,Mammals
"Gazelle, slender-horned",Gazella leptoceros,Endangered,Mammals
Gibbons,Hylobates spp. (including Nomascus),Endangered,Mammals
"Gopher, Olympia pocket",Thomomys mazama pugetensis,Threatened,Mammals
"Gopher, Roy Prairie pocket",Thomomys mazama glacialis,Threatened,Mammals
"Gopher, Tenino pocket",Thomomys mazama tumuli,Threatened,Mammals
